Name,Current online,Max online,Status
InsanityCraft,7040,8000,online
Netherite,2010,2024,online
OPBlocks,7210,7500,online
Simple Survival,152,300,online
Advancius Network,141,400,online
Complex Gaming,2848,5000,online
OPBlocks,7210,7500,online
FireMC,113,900,online
EarthMC,143,200,online
LoverCraft Network,391,2500,online
Applecraft,271,400,online
Penguin.GG,758,1000,online
Havoc Games,224,1000,online
NationsGlory,629,630,online
InsanityCraft,7040,8000,online
SmashMC,330,500,online
Pixelmon Realms,247,999,online
SuperCraft,525,2000,online
BlossomCraft,237,400,online
Netherite,2010,2024,online
PokeSaga,255,1,online
NeoNetwork,543,1000,online
FreshSMP,351,1000,online
ArchMC,465,1000,online
Vulengate,112,500,online
FadeCloud,388,2000,online
Lifesteal,136,500,online
BendersMC,374,1250,online
Rinaorc,566,2500,online
Simple Survival,152,300,online
Skyblock,189,750,online
LemonCloud,244,245,online
LeoneMC,366,5000,online
Sakura Realms,94,100,online
Lord Of The Craft,166,500,online
OneBlockMC,226,1,online
Librecraft,634,635,online
NebulaMC,153,2024,online
Boxpvp,50,500,online
OPLegends,818,2024,online
PokeWild,147,400,online
Twenture,68,300,online
FoxSMP,104,500,online
PixelBlock,283,500,online
Vortex Network,1294,3000,online
Minecraft Central,1148,10000,online
CubeCraft Games,501,2000,online
PokeFind,425,1000,online
HayCube,58,500,online
Armageddon Server,109,400,online
Kingscraft PH,11,250,online
CCNet,94,300,online
MysticMC,74,200,online
MineSuperior,2090,2500,online
TrappedMC,80,150,online
PokeHub Cobblemon,109,5000,online
GamerTee Network,20,500,online
CobbleLand,92,200,online
Grand Theft Minecart,28,29,online
Advancius Network,142,400,online
RulerCraft,50,200,online
Vanilla Europa,35,175,online
InvadedLands,86,87,online
Blaze Gaming,760,2024,online
VentureLand RPG,47,48,online
Rede Revo,132,133,online
Minecadia,794,5000,online
PotionMc,46,500,online
FriendlyCraft,19,2000,online
NAVELYA,9,10,online
ChillSMP,65,1000,online
TulipSurvival,34,1000,online
Foxcraft,238,1000,online
Sunny Survival,30,250,online
MineRival,51,500,online
PokeLeague,27,250,online
Rearth Server,14,200,online
Pikacore,21,300,online
CastiaMC,47,350,online
JackpotMC,87,7777,online
CraftYourTown,96,1,online
guster,43,500,online
CreativeFun,47,2000,online
MinePiece ,71,2000,online
PlayCDU,39,400,online
Dragon Block Apollo,19,250,online
Safe Survival,13,150,online
SwanCraft,18,150,online
OrchardCraft Survival,80,200,online
AnubisMC,39,5000,online
TavernMC,106,1000,online
Pure Vanilla,42,150,online
MineHeart,70,199,online
ZedarMC,150,1000,online
Loka,155,1000,online
VanillaPlus,148,500,online
Performium,306,3999,online
8builders8tools,70,2000,online
Shinybounds.net,96,1000,online
Fish On MC,26,110,online
